pmid	year	count	title	otherid
5025661	2016	1	The <italic>Tara</italic> Oceans voyage reveals global diversity and distribution patterns of marine planktonic ciliates	27633177
5024101	2016	1	Genome-wide analysis of long intergenic non-coding RNAs in chickpea and their potential role in flower development	27628568
5019451	2016	6	Combined Analysis of Variation in Core, Accessory and Regulatory Genome Regions Provides a Super-Resolution View into the Evolution of Bacterial Populations	27618184
5013446	2016	2	Clustering drug-drug interaction networks with energy model layouts: community analysis and drug repurposing	27599720
5029052	2016	1	Fracture Mechanics Method for Word Embedding Generation of Neural Probabilistic Linguistic Model	27698659
4987333	2016	1	Multiple Assembly Rules Drive the Co-occurrence of Orthopteran and Plant Species in Grasslands: Combining Network, Functional and Phylogenetic Approaches	27582754
4986384	2016	1	Deciphering transcriptome profiles of peripheral blood mononuclear cells in response to PRRSV vaccination in pigs	27528396
4986254	2016	4	A strategy to identify housekeeping genes suitable for analysis in breast cancer diseases	27526934
4985139	2016	1	Social Representations of Hero and Everyday Hero: A Network Study from Representative Samples	27525418
4978452	2016	1	Modes of Large-Scale Brain Network Organization during Threat Processing and Posttraumatic Stress Disorder Symptom Reduction during TF-CBT among Adolescent Girls	27505076
4975045	2016	2	Lichen-Associated Fungal Community in <italic>Hypogymnia hypotrypa</italic> (Parmeliaceae, Ascomycota) Affected by Geographic Distribution and Altitude	27547204
5010910	2016	1	A Genome-Scale Investigation of How Sequence, Function, and Tree-Based Gene Properties Influence Phylogenetic Inference	27492233
4972826	2016	1	Mouse Social Network Dynamics and Community Structure are Associated with Plasticity-Related Brain Gene Expression	27540359
4971676	2016	1	Mango: combining and analyzing heterogeneous biological networks	27489569
4969671	2016	1	Parallel or convergent evolution in human population genomic data revealed by genotype networks	27484992
4974650	2016	1	Cutaneous wound healing through paradoxical MAPK activation by BRAF inhibitors	27476449
4965098	2016	1	Context Specific and Differential Gene Co-expression Networks via Bayesian Biclustering	27467526
4963353	2016	4	Integrated information for integrated care in the general practice setting in Italy: using social network analysis to go beyond the diagnosis of frailty in the elderly	27465019
4961950	2016	1	Smoking, pregnancy and the subgingival microbiome	27461975
4960849	2016	2	Proteotyping of biogas plant microbiomes separates biogas plants according to process temperature and reactor type	27462366
4960687	2016	1	Representing and querying disease networks using graph databases	27462371
4959000	2016	1	Proteomics of hot-wet and cold-dry temperaments proposed in Iranian traditional medicine: a Network-based Study	27452083
5127143	2016	1	Evolutionary analysis of apolipoprotein E by Maximum Likelihood andcomplex network methods	27560837
4945013	2016	1	Comorbid Analysis of Genes Associated with Autism Spectrum Disorders Reveals Differential Evolutionary Constraints	27414027
4943724	2016	3	Pleiotropic Genes Affecting Carcass Traits in <italic>Bos indicus</italic> (Nellore) Cattle Are Modulators of Growth	27410030
4958244	2016	2	Lectin-Glycan Interaction Network-Based Identification of Host Receptors of Microbial Pathogenic Adhesins	27406561
4938516	2016	1	Analysis of Network Clustering Algorithms and Cluster Quality Metrics at Scale	27391786
5013309	2016	1	HVint: A Strategy for Identifying Novel Protein-Protein Interactions in Herpes Simplex Virus Type 1<xref ref-type="fn" rid="FN1">*</xref><xref ref-type="fn" rid="FN2"><sup><inline-graphic xlink:href="sbox.jpg"/></sup></xref>	27384951
4974491	2016	4	Network Analysis Identifies Proinflammatory Plasma Cell Polarization for Secretion of ISG15 in Human Autoimmunity	27357150
4927120	2016	1	S100A12 Is Part of the Antimicrobial Network against <italic>Mycobacterium leprae</italic> in Human Macrophages	27355424
4916213	2016	1	Mission Command in the Age of Network-Enabled Operations: Social Network Analysis of Information Sharing and Situation Awareness	27445905
4946312	2016	3	Extraction of business relationships in supply networks using statistical learning theory	27441294
4915275	2016	3	A protocol to convert spatial polyline data to network formats and applications to world urban road networks	27327129
4911944	2016	1	Diversity and Distribution of Prokaryotes within a Shallow-Water Pockmark Field	27379070
4911122	2016	2	Comparing the Consumption of CPU Hours with Scientific Output for the Extreme Science and Engineering Discovery Environment (XSEDE)	27310174
4909221	2016	3	Research on Biodiversity and Climate Change at a Distance: Collaboration Networks between Europe and Latin America and the Caribbean	27304924
4907256	2016	1	DermO; an ontology for the description of dermatologic disease	27296450
4929901	2016	1	Socially segregated, sympatric sperm whale clans in the Atlantic Ocean	27429766
4917914	2015	2	Trusting Others to &#x2018;Do the Math&#x2019;	27365564
4888752	2016	2	Bipartite Graphs for Visualization Analysis of Microbiome Data	27279729
4906237	2016	2	Community Structure of a Mental Health Internet Support Group: Modularity in User Thread Participation	27242012
5089584	2016	3	Proteome rearrangements after auditory learning: high&#x2010;resolution profiling of synapse&#x2010;enriched protein fractions from mouse brain	27062398
4878788	2016	3	How Does National Scientific Funding Support Emerging Interdisciplinary Research: A Comparison Study of Big Data Research in the US and China	27219466
4896314	2016	3	Automated Mapping of Phenotype Space with Single-Cell Data	27183440
4866393	2016	1	Modular reorganization of the global network of gene regulatory interactions during perinatal human brain development	27175727
4865126	2016	3	Topology of Innovation Spaces in the Knowledge Networks Emerging through Questions-And-Answers	27171149
4859527	2016	1	The Power of Implicit Social Relation in Rating Prediction of Social Recommender Systems	27152663
4857381	2016	4	Building a glaucoma interaction network using a text mining approach	27152122
4853437	2016	1	Relations between Spatial Distribution, Social Affiliations and Dominance Hierarchy in a Semi-Free Mandrill Population	27199845
4852432	2016	3	Co-authorship network analysis in health research: method and potential use	27138279
4898794	2016	2	&#x201C;Every Gene Is Everywhere but the Environment Selects&#x201D;: Global Geolocalization of Gene Sharing in Environmental Samples through Network Analysis	27190206
4845430	2016	1	Integrating text mining, data mining, and network analysis for identifying genetic breast cancer trends	27112211
4844133	2016	1	Shared Cultural History as a Predictor of Political and Economic Changes among Nation States	27110713
4987894	2016	2	Genonets server&#x2014;a web server for the construction, analysis and visualization of genotype networks	27106055
4840215	2016	1	Feed-Forward Propagation of Temporal and Rate Information between Cortical Populations during Coherent Activation in Engineered <italic>In Vitro</italic> Networks	27147977
4832195	2016	1	Soil ionomic and enzymatic responses and correlations to fertilizations amended with and without organic fertilizer in long-term experiments	27079657
4825975	2016	2	<italic>De Novo</italic> and Rare Variants at Multiple Loci Support the Oligogenic Origins of Atrioventricular Septal Heart Defects	27058611
4820715	2016	1	Unfolding mechanism of thrombin-binding aptamer revealed by molecular dynamics simulation and Markov State Model	27045335
4833821	2016	2	Science system path-dependencies and their influences: nanotechnology research in Russia	27122645
4812608	2016	5	Analyzing the Chinese landscape in anti-diabetic drug research: leading knowledge production institutions and thematic communities	27030797
4802318	2016	2	In Vitro Assessment Reveals Parameters-Dependent Modulation on Excitability and Functional Connectivity of Cerebellar Slice by Repetitive Transcranial Magnetic Stimulation	27000527
5029672	2016	1	Integrated analysis of long non-coding RNAs in human colorectal cancer	27004403
4795555	2016	3	In Vivo Molecular Dissection of the Effects of HIV-1 in Active Tuberculosis	26986567
4797768	2016	1	Symmetry-based reciprocity: evolutionary constraints on a proximate mechanism	26998412
4789277	2016	3	Genome-wide analysis of DNA methylation and gene expression defines molecular characteristics of Crohn&#x2019;s disease-associated fibrosis	26973718
4788454	2016	3	&#x201C;Anyone Know What Species This Is?&#x201D; &#x2013; Twitter Conversations as Embryonic Citizen Science Communities	26967526
4772532	2016	1	Toward precision medicine of breast cancer	26925829
4764846	2016	1	Microbial succession in response to pollutants in batch-enrichment culture	26905741
4761868	2016	2	Twitter Influence on UK Vaccination and Antiviral Uptake during the 2009 H1N1 Pandemic	26942174
4757102	2016	5	Comprehensive Map of Molecules Implicated in Obesity	26886906
4755009	2016	3	Structure and function of gene regulatory networks associated with worker sterility in honeybees	26925214
4742282	2016	1	Threshold Games and Cooperation on Multiplayer Graphs	26844547
4737206	2016	1	Environmental changes bridge evolutionary valleys	26844293
5029158	2016	3	Geographic patterns of co-occurrence network topological features for soil microbiota at continental scale in eastern China	26771927
4713078	2016	4	What Is Citizen Science? &#x2013; A Scientometric Meta-Analysis	26766577
4707498	2016	1	Network-Based Comparative Analysis of <italic>Arabidopsis</italic> Immune Responses to <italic>Golovinomyces orontii</italic> and <italic>Botrytis cinerea</italic> Infections	26750561
4703140	2015	1	Using Co-authorship Networks to Map and Analyse Global Neglected Tropical Disease Research with an Affiliation to Germany	26719978
4699901	2015	1	The Detection of Emerging Trends Using Wikipedia Traffic Data and Context Networks	26720074
4696668	2015	3	On the Compliance of Women Engineers with a Gendered Scientific System	26716831
4687093	2015	2	Mechanism of lignin inhibition of enzymatic biomass deconstruction	26697106
4694088	2015	1	Diffusion of Messages from an Electronic Cigarette Brand to Potential Users through Twitter	26684746
4684370	2015	3	Concurrent Bursty Behavior of Social Sensors in Sporting Events	26659028
4937872	2015	3	Systems Toxicology of Male Reproductive Development: Profiling 774 Chemicals for Molecular Targets and Adverse Outcomes	26662846
4676628	2015	2	Evolution of Cooperation Patterns in Psoriasis Research: Co-Authorship Network Analysis of Papers in Medline (1942&#x2013;2013)	26658481
4676146	2015	1	VariantSpark: population scale clustering of genotype information	26651996
4666900	2015	3	Identification of Th1/Th2 regulatory switch to promote healing response during leishmaniasis: a computational approach	26660865
4660280	2015	2	Protein-protein interaction networks identify targets which rescue the MPP<sup>+</sup> cellular model of Parkinson&#x2019;s disease	26608097
4945619	2015	1	Mapping dynamic social networks in real life using participants' own smartphones	27441223
4624435	2015	3	Developmental Reorganization of the Cognitive Network in Pediatric Epilepsy	26505900
4624368	2015	3	Highly divergent ancient gene families in metagenomic samples are compatible with additional divisions of life	26502935
4620479	2015	1	Niche differentiation of bacterial communities at a millimeter scale in Shark Bay microbial mats	26499760
4620160	2015	1	Analyzing 7000 texts on deep brain stimulation: what do they tell us?	26578908
4620155	2015	2	Genome reconstructions indicate the partitioning of ecological functions inside a phytoplankton bloom in the Amundsen Sea, Antarctica	26579075
4646793	2015	1	Below-ground plant&#x2013;fungus network topology is not congruent with above-ground plant&#x2013;animal network topology	26601279
4619074	2015	6	Cross platform analysis of methylation, miRNA and stem cell gene expression data in germ cell tumors highlights characteristic differences by tumor histology	26497383
4615975	2015	1	Diversity and distribution of fungal communities in the marine sediments of Kongsfjorden, Svalbard (High Arctic)	26494429
4618737	2015	1	Phylogeny-structured carbohydrate metabolism across microbiomes collected from different units in wastewater treatment process	26500698
4612159	2015	1	Beyond ectomycorrhizal bipartite networks: projected networks demonstrate contrasted patterns between early- and late-successional plants in Corsica	26539201
4611156	2015	2	Responses of soil microeukaryotic communities to short-term fumigation-incubation revealed by MiSeq amplicon sequencing	26539178
4608158	2015	1	Participation dynamics of a cohort of drug users in a low-threshold methadone treatment programme	26470863
4604449	2015	1	Diversity and distribution of lichen-associated fungi in the Ny-&#xC5;lesund Region (Svalbard, High Arctic) as revealed by 454 pyrosequencing	26463847
4595845	2015	1	Spillover and pandemic properties of zoonotic viruses with high host plasticity	26445169
4595048	2015	1	Interlog protein network: an evolutionary benchmark of protein interaction networks for the evaluation of clustering algorithms	26437714
4582640	2015	3	The core populations and co-occurrence patterns of prokaryotic communities in household biogas digesters	26413157
4595600	2015	1	Non-random patterns in viral diversity	26391192
4578939	2015	2	Decoding Structural Properties of a Partially Unfolded Protein Substrate: En Route to Chaperone Binding	26394388
4585378	2015	1	<italic>In vivo</italic> Monitoring of Transcriptional Dynamics After Lower-Limb Muscle Injury Enables Quantitative Classification of Healing	26381351
4574940	2015	1	EEGNET: An Open Source Tool for Analyzing and Visualizing M/EEG Connectome	26379232
4560400	2015	1	Evolution of Intra-specific Regulatory Networks in a Multipartite Bacterial Genome	26340565
4557972	2015	6	What are the Evolutionary Origins of Mitochondria? A Complex Network Approach	26332127
4556655	2015	1	Contact Patterns in a High School: A Comparison between Data Collected Using Wearable Sensors, Contact Diaries and Friendship Surveys	26325289
4552647	2015	2	Functional Basis of Microorganism Classification	26317871
4548842	2015	5	Visualizing genome and systems biology: technologies, tools, implementation techniques and trends, past, present and future	26309733
4547134	2015	1	Social, spatial, and temporal organization in a complex insect society	26300390
4548489	2015	1	Mental disorder recovery correlated with centralities and interactions on an online social network	26312174
4538382	2015	1	Improving the accuracy of the <italic>k</italic>-shell method by removing redundant links: From a perspective of spreading dynamics	26277903
4653389	2015	4	cyNeo4j: connecting Neo4j and Cytoscape	26272981
4534355	2015	1	Distilling a Visual Network of Retinitis Pigmentosa Gene-Protein Interactions to Uncover New Disease Candidates	26267445
4973823	2015	1	Constructing, conducting and interpreting animal social network analysis	26172345
4521825	2015	2	Do Nobel Laureates Create Prize-Winning Networks? An Analysis of Collaborative Research in Physiology or Medicine	26230622
4520683	2015	1	A Social Network Approach Reveals Associations between Mouse Social Dominance and Brain Gene Expression	26226265
4518210	2015	2	Theme and variations: evolutionary diversification of the HET-s functional amyloid motif	26219477
4643120	2015	1	The bibliometric analysis of scholarly production: How great is the impact?	26594073
4525178	2015	1	A draft network of ligand&#x2013;receptor-mediated multicellular signalling in human	26198319
4504470	2015	1	Ecological Specialization of Two Photobiont-Specific Maritime Cyanolichen Species of the Genus <italic>Lichina</italic>	26181436
4502430	2015	1	The dynamics of meaningful social interactions and the emergence of collective knowledge	26174482
4500931	2015	1	An <italic>in vitro</italic> method to manipulate the direction and functional strength between neural populations	26236198
4494010	2015	2	CENP-C is a blueprint for constitutive centromere&#x2013;associated network assembly within human kinetochores	26124289
4490682	2015	1	Genomic copy number variation in <italic>Mus musculus</italic>	26141061
4519003	2015	5	Post Disaster Governance, Complexity and Network Theory	26236562
4736682	2015	1	Conservation and divergence of the cyclic adenosine monophosphate&#x2013;protein kinase A (cAMP&#x2013;<styled-content style="fixed-case">PKA</styled-content>) pathway in two plant&#x2010;pathogenic fungi: <italic>Fusarium graminearum</italic> and <italic><styled-content style="fixed-case">F</styled-content>.&#x2009;verticillioides</italic>	25907134
4482261	2015	8	The Patterns of Coevolution in Clade B HIV Envelope's N-Glycosylation Sites	26110648
4466863	2015	1	Integrated web visualizations for protein-protein interaction databases	26077899
4466372	2015	2	Endophytic Fungal Communities Associated with Vascular Plants in the High Arctic Zone Are Highly Diverse and Host-Plant Specific	26067836
4465747	2015	1	Sustainable Sourcing of Global Agricultural Raw Materials: Assessing Gaps in Key Impact and Vulnerability Issues and Indicators	26065899
4477197	2015	1	Inter-individual stereotypy of the <italic>Platynereis</italic> larval visual connectome	26061864
4458913	2015	3	Analysis of the human diseasome using phenotype similarity between common, genetic, and infectious diseases	26051359
4461095	2015	7	Tools for visualization and analysis of molecular networks, pathways, and -omics data	26082651
4651819	2015	1	Connectome-Wide Network Analysis of Youth with Psychosis Spectrum Symptoms	26033240
4699409	2015	13	&#x201C;We definitely need an audience&#x201D;: experiences of Twitter, Twitter networks and tweet content in adults with severe communication disabilities who use augmentative and alternative communication (AAC)	26030339
4460923	2015	1	Network-based prediction and knowledge mining of disease genes	26043920
4444109	2015	1	Bar-HRM for Authentication of Plant-Based Medicines: Evaluation of Three Medicinal Products Derived from Acanthaceae Species	26011474
4442152	2015	3	How different countries addressed the sudden growth of e-cigarettes in an online tobacco control community	25998038
4449903	2015	5	An Integrative Thrombosis Network: Visualization and Topological Analysis	26074988
4415585	2015	5	Reconstructing rare soil microbial genomes using <italic>in situ</italic> enrichments and metagenomics	25983722
4415091	2015	1	Fat, Fiber and Cancer Risk in African Americans and Rural Africans	25919227
4424502	2015	1	Regulatory networks in retinal ischemia-reperfusion injury	25902940
4403903	2015	2	Cross-Disciplinary Detection and Analysis of Network Motifs	25983553
4985733	2016	1	Comparative Performance of Adult Social Care Research, 1996&#x2013;2011: A Bibliometric Assessment	27559228
4395145	2015	3	Relevance of Vitamin D Receptor Target Genes for Monitoring the Vitamin D Responsiveness of Primary Human Cells	25875760
4652617	2015	5	The role of ontologies in biological and biomedical research: a functional perspective	25863278
4400316	2015	1	The Painful Tweet: Text, Sentiment, and Community Structure Analyses of Tweets Pertaining to Pain	25843553
4397621	2015	1	New avenue in the treatment of temporal lobe epilepsy by classical anti-epileptics: A hypothetical establishment of executioner Caspase 3 inactivation by molecular modeling	25878976
4584193	2015	5	An <italic>in vivo</italic> screen to identify candidate neurogenic genes in the developing <italic>Xenopus</italic> visual system	25818835
4365722	2015	1	Differences in cognitive aging: typology based on a community structure detection approach	25852549
4359441	2015	1	Brain transcriptome profiles in mouse model simulating features of post-traumatic stress disorder	25888136
4343183	2015	1	PathCards: multi-source consolidation of human biological pathways	25725062
4381497	2015	1	Testing ecological theories with sequence similarity networks: marine ciliates exhibit similar geographic dispersal patterns as multicellular organisms	25762112
4394967	2015	3	Visualizing collaborative electronic health record usage for hospitalized patients with heart failure	25710558
4326464	2015	1	Improving the Robustness of Complex Networks with Preserving Community Structure	25674786
4319923	2015	1	An Analysis of Chemical Ingredients Network of Chinese Herbal Formulae for the Treatment of Coronary Heart Disease	25658855
4409855	2015	21	Open source libraries and frameworks for biological data visualisation: A guide for developers	25475079
4317708	2015	2	Network analysis suggests a potentially &#x2018;evil' alliance of opportunistic pathogens inhibited by a cooperative network in human milk bacterial communities	25651890
4308895	2015	1	Higher gene expression variability in the more aggressive subtype of chronic lymphocytic leukemia	25632304
4308075	2015	7	A Computational Strategy to Select Optimized Protein Targets for Drug Development toward the Control of Cancer Diseases	25625699
4295881	2015	7	System Model Network for Adipose Tissue Signatures Related to Weight Changes in Response to Calorie Restriction and Subsequent Weight Maintenance	25590576
4288710	2015	2	Systems Level Analysis of Systemic Sclerosis Shows a Network of Immune and Profibrotic Pathways Connected with Genetic Polymorphisms	25569146
4240957	2014	1	Mapping the landscape of climate engineering	25404683
4333391	2015	1	Regulation of the transcriptional program by DNA methylation during human &#x3B1;&#x3B2; T-cell development	25539926
4275039	2014	2	Pleiotropy constrains the evolution of protein but not regulatory sequences in a transcription regulatory network influencing complex social behaviors	25566318
4304266	2014	1	Eyes-closed task-free electroencephalography in clinical trials for Alzheimer&#x2019;s disease: an emerging method based upon brain dynamics	25621017
4381813	2014	1	Metagenomic chromosome conformation capture (meta3C) unveils thediversity of chromosome organization in microorganisms	25517076
4269395	2014	1	Clinical Research: A Globalized Network	25517976
4263022	2014	1	Bacteria dialog with Santa Rosalia: Are aggregations of cosmopolitan bacteria mainly explained by habitat filtering or by ecological interactions?	25472003
4570199	2015	1	Advantages of mixing bioinformatics and visualization approaches for analyzing sRNA-mediated regulatory bacterial networks	25477348
4344487	2015	4	Integrative analysis of public ChIP-seq experiments reveals a complex multi-cell regulatory landscape	25477382
4252896	2014	3	Global connectivity of hub residues in Oncoprotein structures encodes genetic factors dictating personalized drug response to targeted Cancer therapy	25465236
4252261	2014	2	White adipose tissue reference network: a knowledge resource for exploring health-relevant relations	25466819
4250035	2014	1	The Connectome Visualization Utility: Software for Visualization of Human Brain Networks	25437873
4264263	2014	1	RMS: a platform for managing cross-disciplinary and multi-institutional research project collaboration	25433526
4251860	2014	1	Successional changes in the chicken cecal microbiome during 42&#xA0;days of growth are independent of organic acid feed additives	25427406
4260076	2014	1	Enhancing Knowledge Flow in a Health Care Context: A Mobile Computing Approach	25427923
4250066	2014	6	Visual analytics in healthcare education: exploring novel ways to analyze and represent big data in undergraduate medical education	25469323
4240592	2014	1	Species, Habitats, Society: An Evaluation of Research Supporting EU's Natura 2000 Network	25415188
4236011	2014	1	CollaborationViz: Interactive Visual Exploration of Biomedical Research Collaboration Networks	25405477
4858121	2014	2	High CerS5 expression levels associate with reduced patient survival and transition from apoptotic to autophagy signalling pathways in colorectal cancer	27499893
4234624	2014	1	Time Development in the Early History of Social Networks: Link Stabilization, Group Dynamics, and Segregation	25402449
4229500	2014	1	Emotional speech synchronizes brains across listeners and engages large-scale dynamic brain networks	25128711
4897231	2014	2	A Computational Framework for Tracing the Origins of Genomic Islands in Prokaryotes	27433520
4217172	2014	3	Noninvasive analysis of metabolic changes following nutrient input into diverse fish species, as investigated by metabolic and microbial profiling approaches	25374774
4817710	2015	3	Minimum entropy decomposition: Unsupervised oligotyping for sensitive partitioning of high-throughput marker gene sequences	25325381
4199679	2014	1	Characterization of Egg Laying Hen and Broiler Fecal Microbiota in Poultry Farms in Croatia, Czech Republic, Hungary and Slovenia	25329397
4210251	2014	1	The pits and falls of graphical presentation	25351349
4231733	2014	2	Efficient <italic>in silico</italic> exploration of RNA interhelical conformations using Euler angles and WExplore	25294827
4245699	2014	1	 Algorithm for the Construction of a Global Enzymatic Network to be Used for Gene Network Reconstruction	25435802
4167238	2014	1	Contact Patterns among High School Students	25226026
4149555	2014	2	Impact of Non-Native Terrestrial Mammals on the Structure of the Terrestrial Mammal Food Web of Newfoundland, Canada	25170923
4159108	2014	1	Global population-specific variation in miRNA associated with cancer risk and clinical biomarkers	25169894
4143334	2014	6	Astrophysicists&#x2019; Conversational Connections on Twitter	25153196
4143257	2014	1	Measuring Social Networks for Medical Research in Lower-Income Settings	25153127
4140793	2014	1	Personal Trust Increases Cooperation beyond General Trust	25144539
4133233	2014	3	Disease Progression in <italic>Plasmodium knowlesi</italic> Malaria Is Linked to Variation in Invasion Gene Family Members	25121807
4202312	2014	1	Extensive Gene Remodeling in the Viral World: New Evidence for Nongradual Evolution in the Mobilome Network	25104113
4123730	2014	1	Biogeography of anaerobic ammonia-oxidizing (anammox) bacteria	25147546
4121239	2014	4	Identifying Node Role in Social Network Based on Multiple Indicators	25089823
4117417	2014	4	Hotspot Mutations in KIT Receptor Differentially Modulate Its Allosterically Coupled Conformational Dynamics: Impact on Activation and Drug Sensitivity	25079768
4103885	2014	3	A Data-Driven Approach to Reverse Engineering Customer Engagement Models: Towards Functional Constructs	25036766
4120142	2014	1	Next-generation sequencing reveals large connected networks of intra-host HCV variants	25081811
4080450	2014	4	The pseudo GTPase CENP-M drives human kinetochore assembly	25006165
4085040	2014	1	Life Cycle Assessment of Metals: A Scientific Synthesis	24999810
4084810	2014	12	DyCoNet: A Gephi Plugin for Community Detection in Dynamic Complex Networks	25000497
4067075	2014	1	Diagnostically relevant facial gestalt information from ordinary photos	24963138
4274434	2015	1	A single genus in the gut microbiome reflects host preference and specificity	24936765
4132847	2014	1	Quantifyingthe Sources of Kinetic Frustrationin Folding Simulationsof Small Proteins	25136267
4051631	2014	31	ForceAtlas2, a Continuous Graph Layout Algorithm for Handy Network Visualization Designed for the Gephi Software	24914678
4046952	2014	3	Deciphering the Origin of the 2012 Cholera Epidemic in Guinea by Integrating Epidemiological and Molecular Analyses	24901522
4060771	2014	8	Clinic-Genomic Association Mining for Colorectal Cancer Using Publicly Available Datasets	24987669
4041496	2014	1	Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research	26086650
4086074	2014	1	R. S. WebTool, a web server for random sampling-based significance evaluation of pairwise distances	24878919
4059887	2014	1	Neuronal connectome of a sensory-motor circuit for visual navigation	24867217
4045339	2014	1	Strain- and plasmid-level deconvolution of a synthetic metagenome by sequencing proximity ligation products	24918035
4086107	2014	4	NetworkAnalyst - integrative approaches for protein&#x2013;protein interaction network analysis and visual exploration	24861621
4086116	2014	1	ToppMiR: ranking microRNAs and their mRNA targets based on biological                    functions and context	24829448
4026710	2014	2	Using a high-dimensional graph of semantic space to model relationships among words	24860525
4068904	2014	9	The ontology of genetic susceptibility factors (OGSF) and its application in modeling genetic susceptibility to vaccine adverse events	24963371
4237157	2014	1	Cryptic ecology among host generalist <italic>Campylobacter jejuni</italic> in domestic animals	24689900
4022055	2014	1	Historical contingency and the gradual evolution of metabolic properties in central carbon and genome-scale metabolisms	24758311
3997360	2014	3	A Module of Human Peripheral Blood Mononuclear Cell Transcriptional Network Containing Primitive and Differentiation Markers Is Related to Specific Cardiovascular Health Variables	24759906
3986271	2014	1	Faecal Microbiota Composition in Adults Is Associated with the <italic>FUT2</italic> Gene Determining the Secretor Status	24733310
3981832	2014	2	Climate Change on Twitter: Topics, Communities and Conversations about the 2013 IPCC Working Group 1 Report	24718388
4419767	2014	1	Visualizing and Evaluating the Growth of Multi-Institutional Collaboration Based on Research Network Analysis	25954579
3969316	2014	2	International Scientific Collaboration in HIV and HPV: A Network Analysis	24682041
3976802	2014	1	Genetic Algorithm and Graph Theory Based Matrix Factorization Method for Online Friend Recommendation	24757410
4007780	2014	3	An integrative modeling framework reveals plasticity of TGF-&#x3B2; signaling	24618419
3938728	2014	1	Copy Number Variations Burden on miRNA Genes Reveals Layers of Complexities Involved in the Regulation of Pathways and Phenotypic Expression	24587348
4016497	2014	4	Cross-kingdom host shifts of phytomyxid parasites	24559266
3978116	2014	2	BioHackathon series in 2011 and 2012: penetration of ontology and linked data in life science domains	24495517
3893172	2014	3	Metabolic Network Analysis-Based Identification of Antimicrobial Drug Targets in Category A Bioterrorism Agents	24454817
3896815	2014	4	Prediction of novel drug indications using network driven biological data prioritization and integration	24397863
3866152	2013	1	Discovering Implicit Entity Relation with the Gene-Citation-Gene Network	24358368
3858359	2013	3	Social Structure of a Semi-Free Ranging Group of Mandrills (<italic>Mandrillus sphinx</italic>): A Social Network Analysis	24340074
4029299	2013	1	Computational drug repositioning through heterogeneous network clustering	24564976
3857230	2013	1	The Network Architecture of the <italic>Saccharomyces cerevisiae</italic> Genome	24349163
3935183	2014	1	A Pluralistic Account of Homology: Adapting the Models to the Data	24273322
