pmid	forename_lastname	affiliation
26272981	Thomas_Kelder	EdgeLeap B.V., Utrecht, The Netherlands and.
26272981	Keiichiro_Ono	Department of Medicine, University of California, San Diego, La Jolla, CA, USA.
26272981	Marijana_Radonjic	EdgeLeap B.V., Utrecht, The Netherlands and.
26272981	Stephane_Heymans	Center for Heart Failure Research, Cardiovascular Research Institute Maastricht (CARIM), University Hospital Maastricht, Maastricht, The Netherlands.
26272981	Barry_Demchak	Department of Medicine, University of California, San Diego, La Jolla, CA, USA.
26262393	Dimitar_Hristovski	Faculty of Medicine, University of Ljubljana, Ljubljana, Slovenia.
26262393	Andrej_Kastrin	Faculty of Information Studies, Novo mesto, Slovenia.
26262393	Dejan_Dinevski	Faculty of Medicine, University of Maribor, Maribor, Slovenia.
26262393	Thomas_C_Rindflesch	National Library of Medicine, Bethesda, MD, USA.
25520553	David_Johnson	Department of Computing, Imperial College London, London, UK. ; Data Science Institute, Imperial College London, London, UK.
25520553	Anthony_J_Connor	Department of Computer Science, University of Oxford, Oxford, UK.
25520553	Steve_McKeever	Department of Informatics and Media, Uppsala University, Uppsala, Sweden. ; St. Petersburg National Research University of Information Technologies, Mechanics and Optics (ITMO), St. Petersburg, Russian Federation.
25520553	Zhihui_Wang	Department of Pathology, University of New Mexico, Albuquerque, NM, USA.
25520553	Thomas_S_Deisboeck	Harvard-MIT (HST) Athinoula A. Martinos Center for Biomedical Imaging, Massachusetts General Hospital, Charlestown, MA, USA.
25520553	Tom_Quaiser	Roche Pharmaceutical Research and Early Development (pRED), Roche Innovation Center, Penzberg, Germany.
25520553	Eliezer_Shochat	Roche Pharmaceutical Research and Early Development, Roche Innovation Center, Basel, Switzerland.
